id,tabular_only_predicted,CNN_PREDICTED
2591820310,354710,541850.56
7974200820,840833,797617.75
7701450110,1139474,1209624.4
9522300010,1720326,1895287.6
9510861140,671219,727755.44
1761300310,241535,400718.6
7732410120,761333,800102.9
7010701383,608680,598251
291310170,395833,484188.16
4232901990,558206,474689.97
6840701125,622241,572405.44
3971700580,419408,632894.6
4202400078,268307,395472.97
6064800090,373816,468607.4
2626119028,114731,454141.78
3303980660,957419,1285941.2
862000020,622630,586547.75
2386000070,860301,1120231.2
1138000450,354546,489177.12
1775800420,456920,639869.1
2291401425,414216,546818.5
2025770560,699956,1506533.8
3525069037,705664,881770.06
9324800450,639019,768577.2
8080400136,500362,525075.4
8651540040,476642,587353.25
9407001790,295712,369879.16
1773101530,201885,302409.66
9432900250,298974,462227.94
1794500695,687930,537717.94
2220069003,443473,452490.75
923000120,556838,651155.4
5728000060,510042,580393.56
16000200,297970,438134.72
1926059094,488934,593515
6672900220,905788,775574.3
3629860060,735914,923680.06
1822069109,386176,577186.56
6675500105,364830,500382.38
249000180,1816848,1216145.8
226059065,406327,642754
396100110,272667,433330.6
9264450460,265323,491273.94
7853361210,408831,461243.34
9474700020,275209,363150.75
421000455,232919,328573.38
3755200220,407981,522211.88
7960100075,470453,463493.06
9477100490,399592,510878.22
9138100350,799970,801133.7
1624049275,384273,475417.6
2770606890,488133,457152.25
1157200189,371010,677860.1
2770601800,480091,472103.1
9301300805,512164,473831.53
2325069032,994432,1415476.1
1021079099,365557,495293.3
7215730040,718455,833974.9
1853200080,490679,569663.5
3224600340,610133,759052.4
3222049120,342354,570716.8
2113700025,326759,387890.4
7893207925,201989,342457.6
3586501085,492754,771591.2
8024200010,431448,498241.94
7116500705,199067,293790.53
1598600209,271004,502387.3
7204200025,763186,1251090.5
4206901505,567352,461086.3
2937300440,834649,994803.75
7205000180,272182,459042.2
8718500665,375371,533226.1
5318101765,742863,659835.8
4122700020,1004097,715269
8078700020,459985,702868.75
3303980680,888418,1149607.8
8924100372,1262704,1010291.4
2781270210,214456,317138.53
519000043,497946,517142.88
3225069301,1372695,1676952
151000075,689671,643619.5
2297400020,418310,562026.75
6617500085,608964,664337.2
104510180,223467,368367.56
3528900060,934587,778776.94
